NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
21.000000,-1.0945096E+09,8.0268116E+08,19000550.,-10.780933,-11.295271,0.34634381,5.6607859E+10,-1.2102091E+09,-5.4385444E+09,-4131.0957,50857.073,4535.1047,8.8856281E+10,6.2811500E+10,-4.3206567E+09,-19932.356,28996.519,1548.0220,-1.3911830E+11,-5.9170040E+10,20489035.,11381.655,-27531.431,0.84914846,-1.0786229E+11,2.1953467E+11,7.2218275E+09,-20879.293,-8586.2245,332.57117,
21.500000,-1.0949753E+09,8.0219320E+08,19015514.,-10.780397,-11.294890,0.34627152,5.6465891E+10,9.8508331E+08,-5.2461173E+09,-5817.3690,50947.774,4697.1994,8.8003752E+10,6.4069985E+10,-4.2541954E+09,-20328.764,28727.298,1567.2021,-1.3863163E+11,-6.0361563E+10,20525771.,11614.312,-27431.520,0.84669647,-1.0876519E+11,2.1916562E+11,7.2362563E+09,-20837.060,-8673.1881,329.71275,
22.000000,-1.0954411E+09,8.0170525E+08,19030474.,-10.779865,-11.294491,0.34620065,5.6251374E+10,3.1856769E+09,-5.0466020E+09,-7517.9261,50974.740,4855.3961,8.7134013E+10,6.5316956E+10,-4.1868990E+09,-20721.248,28452.686,1586.0818,-1.3813490E+11,-6.1548812E+10,20562402.,11846.004,-27329.669,0.84420947,-1.0966627E+11,2.1879281E+11,7.2505617E+09,-20794.503,-8759.9343,326.85095,
22.500000,-1.0959068E+09,8.0121732E+08,19045431.,-10.779339,-11.294074,0.34613127,5.5963628E+10,5.3888503E+09,-4.8401585E+09,-9229.8137,50936.470,5009.3013,8.6247233E+10,6.6552178E+10,-4.1187804E+09,-21109.734,28172.743,1604.6576,-1.3762813E+11,-6.2731702E+10,20598927.,12076.715,-27225.888,0.84168770,-1.1056552E+11,2.1841625E+11,7.2647436E+09,-20751.623,-8846.4622,323.98581,
23.000000,-1.0963724E+09,8.0072941E+08,19060386.,-10.778819,-11.293638,0.34606346,5.5602093E+10,7.5918134E+09,-4.6269636E+09,-10949.901,50831.628,5158.5187,8.5343581E+10,6.7775420E+10,-4.0498527E+09,-21494.145,27887.529,1622.9260,-1.3711137E+11,-6.3910151E+10,20635343.,12306.428,-27120.187,0.83913136,-1.1146292E+11,2.1803594E+11,7.2788017E+09,-20708.422,-8932.7710,321.11739,
23.500000,-1.0968381E+09,8.0024151E+08,19075337.,-10.778305,-11.293185,0.34599730,5.5166345E+10,9.7917146E+09,-4.4072112E+09,-12674.892,50659.065,5302.6517,8.4423233E+10,6.8986454E+10,-3.9801291E+09,-21874.407,27597.107,1640.8835,-1.3658467E+11,-6.5084074E+10,20671650.,12535.129,-27012.576,0.83654070,-1.1235847E+11,2.1765191E+11,7.2927360E+09,-20664.901,-9018.8597,318.24571,
24.000000,-1.0973037E+09,7.9975364E+08,19090286.,-10.777800,-11.292713,0.34593285,5.4656096E+10,1.1985648E+10,-4.1811124E+09,-14401.331,50417.838,5441.3068,8.3486367E+10,7.0185052E+10,-3.9096229E+09,-22250.447,27301.539,1658.5267,-1.3604807E+11,-6.6253390E+10,20707845.,12762.801,-26903.064,0.83391592,-1.1325214E+11,2.1726415E+11,7.3065464E+09,-20621.060,-9104.7276,315.37083,
24.500000,-1.0977694E+09,7.9926578E+08,19105231.,-10.777302,-11.292224,0.34587020,5.4071206E+10,1.4170662E+10,-3.9488957E+09,-16125.627,50107.234,5574.0959,8.2533162E+10,7.1370991E+10,-3.8383477E+09,-22622.192,27000.891,1675.8523,-1.3550161E+11,-6.7418015E+10,20743928.,12989.429,-26791.663,0.83125728,-1.1414392E+11,2.1687267E+11,7.3202326E+09,-20576.902,-9190.3739,312.49280,
25.000000,-1.0982349E+09,7.9877794E+08,19120174.,-10.776813,-11.291716,0.34580940,5.3411685E+10,1.6343768E+10,-3.7108061E+09,-17844.064,49726.783,5700.6399,8.1563803E+10,7.2544050E+10,-3.7663170E+09,-22989.570,26695.227,1692.8572,-1.3494533E+11,-6.8577869E+10,20779897.,13214.997,-26678.383,0.82856499,-1.1503381E+11,2.1647749E+11,7.3337945E+09,-20532.427,-9275.7976,309.61165,
25.500000,-1.0987005E+09,7.9829013E+08,19135114.,-10.776334,-11.291190,0.34575053,5.2677706E+10,1.8501953E+10,-3.4671057E+09,-19552.822,49276.278,5820.5715,8.0578478E+10,7.3704011E+10,-3.6935448E+09,-23352.512,26384.614,1709.5381,-1.3437929E+11,-6.9732869E+10,20815750.,13439.490,-26563.235,0.82583930,-1.1592178E+11,2.1607862E+11,7.3472320E+09,-20487.635,-9360.9980,306.72744,
